ConnectorName~  Audeo~ Audiobook~ Audioteka~ BezKartek~ Bookoteka~ BooksOn~ CzeskieKlimaty~ Czytio~ DobryEbook~ Empik~ EscapeMagazine~ FantastykaPolska~ Helion~ KodeksyWmp3~ Koobe~ Latarnik~ Legimi~ Merlin~ Nexto~ Pokatne~ RW2010~ Selkar~ TaniaKsiazka~ Tmc~ Virtualo~ Wikibooks~ Woblink~ WolneEbooki~ Zantes~ ZielonaSowa~ Zinamon~ ZloteMysli~ eClicto~ 
series~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./seriewydawnicze/seriawydawnicza~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
set~ ~ ~ ~ ~ ~ @set~ ~ ~ ~ ~ ~ ~ ~ ~ ~ @set~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ @set~ 
size~ ~ ~ ~ ~ ~ ~ ~ ./size~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ dimensions~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
small_cover~ ~ ~ ~ ~ ~ ~ ~ ~ ./male_zdjecie~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
stack~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ @stack~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
status~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./status~ ~ ~ ~ ~ ~ ~ ./status~ ~ ~ ~ status~ ~ ~ ~ ~ ~ ~ ./status~ ~ ~ ~ ~ 
status2~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./ksiegarnie_nieinter/status2~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
subtitle~ ~ ~ ~ ~ ~ ~ ~ ~ ./podtytul~ ~ ./title_sub~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./title_sub~ ~ ~ ~ ~ 
tags~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./tags~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
thematic_series~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./serietematyczne/serietematyczna~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
thumbnail~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./awThumb~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
time~ ./attrs/a[@name='Czas (min)']~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
title~ ./name~ {urn:ExportB2B}name~ {urn:ExportB2B}name~ ./name~ ./title~ ./n:name~ ./name~ ./title~ ./tytul~ ./name~ ./title~ ./title~ ./tytul[@language='polski']~ ./name~ ./name~ ./name~ {urn:ExportB2B}name~ ./tytul~ ./title~ ./title~ ./tytul~ title~ ./name~ {urn:ExportB2B}name~ ./title~ ./a[@title]~ ./name~ ./title~ ./title~ {urn:ExportB2B}name~ ./tytul~ {urn:ExportB2B}name~ ./name~ 
title_oryginal~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./tytul[@language='oryginal']~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
top~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./top~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
translators~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./tlumacz~ ~ ~ ~ ~ ./tlumacz~ ~ ~ ~ translator~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
type~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./typ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./cat/mCat~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
url~ @url~ {urn:ExportB2B}url~ {urn:ExportB2B}url~ ./url~ ./url~ @url~ @url~ ./url~ ./link~ ./productUrl~ ./url~ ./link~ ./link~ @url~ ./url~ @url~ {urn:ExportB2B}url~ ./url~ ~ ./url~ ./url~ url~ ./awLink~ {urn:ExportB2B}url~ ./url~ ./a[@href]~ @url~ ./link~ ./url~ {urn:ExportB2B}url~ ./url~ {urn:ExportB2B}url~ @url~ 
utm_term~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./utm_term~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
vat~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./ksiegarnie_nieinter/vat~ ~ ~ ~ ~ ~ ./issues/issue/vat~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
vat_percent~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./ksiegarnie_nieinter/vat_procent~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
views~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./views~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
votes~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./votes~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
weight~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ @weight~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ @weight~ 
